Obs#,Time,Date,configName,configAuthor,remark,Observation,,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt,MEASUREMENT_HEADER_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity,data[],FLASH_HEADER_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs#,Time,Date,configName,configAuthor,remark,Observation,,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt,MEASUREMENT_HEADER_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity,data[],FLASH_HEADER_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs#,Time,Date,configName,configAuthor,remark,Observation,,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt,MEASUREMENT_HEADER_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity,data[],FLASH_HEADER_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9:19:10,6/12/2026,Auto gsw+F,LI-COR Default,,1,,,0.216337,2.916539,0.201398,4.230532,1.812418,1.697316,3.810346,1.997928,17.332907,18.508316,38.91106,0.441786,7.5,PSF-00578_20260612091910_2be,0,0,0,99.705215,165.967758,0.399249,0.5,0.8,285.544739,1,53.2,49.83,26.16,28.07,28.07,97.92,156.1,156,0,1788,4.111,9:18:57,6/12/2026,-0.65,1,-0.003,-0.002,0.006,-0.538,-1.457,-3.67,1,150,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,5,2,300,300,300,154.862518,25,-7.618502,154.863235,155.108765,-0.245529,2.47455,2.46487,1.642434,0.932456,0.260399,0.022,0.092315,1.600672,99.705215,0.000285,2.397709,-0.00003,1,2.383926,-0.000024,1,0.601714,0.600514,0.106642,0,PSF-00578_20260612091910_2be,PFA-00612,PSA-00572,PSF-00578,RHS-0697,3.0.0,2022-04-21T19:36:20.491Z,MEASUREMENT_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSF-00578_20260612091910_2be,9:19:10,6/12/2026,PFA-00612,PSA-00572,PSF-00578,0,0,0,165.967758,99.705215,0.399249,1794.661011,TIME,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.839999,0.849999,0.859999,0.869999,0.879999,0.889999,FLR,124.040367,140.326385,146.393539,149.552826,151.278381,152.253265,152.871964,153.27359,153.571487,153.749222,153.90802,154.014587,154.087189,154.165863,154.245255,154.317856,154.353973,154.419418,154.459122,154.489517,154.551743,154.57106,154.627197,154.659027,154.706955,154.735214,154.755585,154.794571,154.827469,154.862518,154.891846,154.922241,154.777771,154.773117,154.625061,154.457336,154.42514,154.281738,154.252411,154.088623,154.092194,153.916245,153.903015,153.730637,153.544312,153.509613,153.353333,153.178452,153.141266,152.966736,152.801514,152.728561,152.579071,152.374512,152.189972,152.147415,151.969315,151.772614,151.579147,151.383514,154.262787,154.696945,154.838913,154.85788,154.863235,154.857513,154.817459,154.803879,154.767029,154.744507,154.730911,154.699799,154.666183,154.653671,154.637222,154.589294,154.576065,154.533859,154.510971,154.476288,154.442673,154.412979,154.385452,154.341812,154.308563,154.27243,154.243118,154.200562,154.16301,154.123657,PAR,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,6957.388672,6898.93457,6840.480469,6782.026367,6723.572266,6665.118164,6606.664062,6548.209961,6489.755859,6431.301758,6372.847656,6314.393066,6255.938965,6197.484863,6139.030762,6080.57666,6022.122559,5963.668457,5905.214355,5846.760254,5788.306152,5729.852051,5671.397949,5612.943848,5554.489746,5496.035645,5437.581055,5379.126953,5320.672852,5262.21875,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,PHASE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,FLASH_END
2,9:20:16,6/12/2026,Auto gsw+F,LI-COR Default,,2,,,0.242728,2.916548,0.224079,4.985333,1.791352,1.655688,3.906563,2.11521,16.908108,18.293526,39.894333,0.441786,7.5,PSF-00578_20260612092016_7c8,0,0,0,95.296738,164.026611,0.419017,0.5,0.8,296.564819,1,51.82,47.89,26.41,28.5,28.5,97.92,156.1,156.1,0,1769,4.107,9:18:57,6/12/2026,-0.65,1,0.005,0.004,-0.006,0.111,0.106,0.341,1,150,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,5,2,300,300,300,151.974319,25,-8.271255,151.95108,152.237213,-0.286133,2.471986,2.463065,1.642443,0.932603,0.25783,0.024098,0.102044,1.58513,95.296738,0.000251,2.397709,-0.00003,1,2.383926,-0.000024,1,0.601714,0.600514,0.106642,0,PSF-00578_20260612092016_7c8,PFA-00612,PSA-00572,PSF-00578,RHS-0697,3.0.0,2022-04-21T19:36:20.491Z,MEASUREMENT_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSF-00578_20260612092016_7c8,9:20:16,6/12/2026,PFA-00612,PSA-00572,PSF-00578,0,0,0,164.026611,95.296738,0.419017,1776.061401,TIME,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.839999,0.849999,0.859999,0.869999,0.879999,0.889999,FLR,119.840027,136.376373,142.712479,146.024826,147.883774,148.965958,149.706604,150.182251,150.55632,150.775192,150.954727,151.083466,151.182175,151.26622,151.330597,151.394241,151.466125,151.532288,151.558395,151.610977,151.683212,151.702164,151.759033,151.78656,151.821609,151.880981,151.901367,151.92926,151.961441,151.974319,152.018311,152.019379,151.876694,151.868103,151.708252,151.516205,151.494385,151.331665,151.313431,151.146408,151.132111,150.954727,150.920395,150.749451,150.54274,150.497681,150.337463,150.119308,150.08461,149.922256,149.731277,149.672272,149.491669,149.29068,149.078247,149.01387,148.811813,148.60582,148.406982,148.191696,151.252274,151.728638,151.893143,151.926041,151.95108,151.942139,151.927475,151.894928,151.879547,151.857727,151.834137,151.800156,151.77977,151.753311,151.725418,151.6689,151.651382,151.615616,151.579147,151.559113,151.541946,151.495453,151.452545,151.417847,151.386734,151.357407,151.308411,151.264069,151.219009,151.197189,PAR,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,6957.388672,6898.93457,6840.480469,6782.026367,6723.572266,6665.118164,6606.664062,6548.209961,6489.755859,6431.301758,6372.847656,6314.393066,6255.938965,6197.484863,6139.030762,6080.57666,6022.122559,5963.668457,5905.214355,5846.760254,5788.306152,5729.852051,5671.397949,5612.943848,5554.489746,5496.035645,5437.581055,5379.126953,5320.672852,5262.21875,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,7015.842773,PHASE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,FLASH_END
3,9:22:01,6/12/2026,Auto gsw+F,LI-COR Default,,3,,,0.238158,2.91551,0.220173,4.914727,1.788751,1.654909,3.910769,2.122018,16.901787,18.268734,39.941158,0.441786,7.5,PSF-00578_20260612092201_5f7,0,0,0,95.408676,164.737854,0.420845,0.5,0.8,276.409668,1,50.42,46.64,26.85,28.52,28.52,97.91,155.9,156,0,1642,4.107,9:18:57,6/12/2026,-0.65,1,-0.002,-0.001,-9999,-0.094,-0.17,-9999,1,150,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,5,2,300,300,300,152.434952,25,-8.442694,152.123444,152.704102,-0.580658,2.470269,2.4612,1.641385,0.932382,0.253348,0.019313,0.116832,1.478661,95.408676,0.000288,2.397709,-0.00003,1,2.383926,-0.000024,1,0.601714,0.600514,0.106642,0,PSF-00578_20260612092201_5f7,PFA-00612,PSA-00572,PSF-00578,RHS-0697,3.0.0,2022-04-21T19:36:20.491Z,MEASUREMENT_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
