SYS_Obs,SYS_Time,SYS_Date,SYS_configName,SYS_configAuthor,USERDEF_remark,USERDEF_Bar_code,USERDEF,USERDEF_1,PORO_gsw,PORO_gbw,PORO_gtw,PORO_E_apparent,PORO_VPcham,PORO_VPref,PORO_VPleaf,PORO_VPDleaf,PORO_H2O_r,PORO_H2O_s,PORO_H2O_leaf,PORO_leaf_area,PORO_leaf_width,FLUORO_flashID,FLUORO_Fo,FLUORO_Fm,FLUORO_FvFm,FLUORO_Fs,FLUORO_Fm_1,FLUORO_PhiPS2,FLUORO_PS21,FLUORO_abs,FLUORO_ETR,FLUORO_TRANS,SENSOR_rh_s,SENSOR_rh_r,SENSOR_Tref,SENSOR_Tmeas,SENSOR_Tleaf,SENSOR_P_atm,SENSOR_flow,SENSOR_flow_s,SENSOR_leak_pct,SENSOR_Qamb,SENSOR_batt,LEAF_ANGLE_pitch,LEAF_ANGLE_roll,LEAF_ANGLE_heading,LEAF_ANGLE_angle_inc_leaf,LEAF_ANGLE_direct_pct,LEAF_ANGLE_slope_leaf,LEAF_ANGLE_az_leaf,LEAF_ANGLE_dec_solar,LEAF_ANGLE_az_solar,LEAF_ANGLE_zenith_solar,GPS_gps_time,GPS_gps_date,GPS_latitude,GPS_longitude,GPS_altitude,GPS_gps_sats,GPS_gps_HDOP,MATCH_match_time,MATCH_match_date,MATCH_rh_adj,MATCH_type,STABILITY_gsw1sec,STABILITY_gsw2sec,STABILITY_gsw4sec,STABILITY_flr1sec,STABILITY_flr2sec,STABILITY_flr4sec,P_CONFIG_auto,P_CONFIG_flow_set,P_CONFIG_gsw_limit,P_CONFIG_gsw_period,P_CONFIG_aw,P_CONFIG_Bla,P_CONFIG_Blb,P_CONFIG_Blc,P_CONFIG_Bld,P_CONFIG_Ble,P_CONFIG_chamber,FL_CONFIG_dark,FL_CONFIG_flash_type,FL_CONFIG_flash_intensity,FL_CONFIG_modrate,FL_CONFIG_flr_limit,FL_CONFIG_flr_period,FL_CONFIG_P1_dur,FL_CONFIG_P2_dur,FL_CONFIG_P3_dur,FL_CONFIG_P1_Fmax,FL_CONFIG_P2_ramp,FL_CONFIG_P2_slp,FL_CONFIG_P3_Fmax,FL_CONFIG_P3_Pred,FL_CONFIG_P3_DeltaF,SENSOR_V_v_humA,SENSOR_V_v_humB,SENSOR_V_v_flowIn,SENSOR_V_v_flowOut,SENSOR_V_v_temp,SENSOR_V_v_irt,SENSOR_V_v_pres,SENSOR_V_v_par,SENSOR_V_v_F,SENSOR_V_i_LED,USERCAL_b_rhr,USERCAL_m_rhr,USERCAL_span_rhr,USERCAL_b_rhs,USERCAL_m_rhs,USERCAL_span_rhs,USERCAL_z_flowIn,USERCAL_z_flowOut,USERCAL_z_quantum,USERCAL_z_flr,META_flashId,META_lciSerNum,META_lcpSerNum,META_lcfSerNum,META_lcrhSerNum,META_version,META_configUpdatedAt,SourceFile,SourceDateFromFile,SourceRow,PlantID,CleanTimestamp,MeasurementDate
1,11:02:40,20-Jul-2026,Rain_out,Climate_model,,Pl1-R1-M2-H3-P10,,,0.093368,2.9172,0.090472,2.4586,3.184,3.1185,5.7094,2.5254,32.0236,32.6965,58.6304,0.44179,7.5,PSF-00578_20260720110240_a4c,0,0,0,95.08252,191.651,0.50388,0.5,0.8,167.5525,1,58.89,57.68,34.21,35.19,35.19,97.38,156.1,154.6,1,831,4.017,-13,-28,345,,,,,,,,15:56:55,20-Jul-2026,39.2084,-96.5938,338.8,5,1.68,11:02:27,20-Jul-2026,-0.35,1,0.002,0.001,-0.011,-0.563,-1.763,-4.08,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-05,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.4832,2.4703,1.6431,0.92877,0.18961,0.012134,0.21657,0.80128,95.0825,0.000297,2.3977,-3e-05,1,2.3839,-2.4e-05,1,0.60171,0.60051,0.10664,0,PSF-00578_20260720110240_a4c,PFA-00612,PSA-00572,PSF-00578,RHS-0697,3.0.0,2026-06-15T15:17:51.144Z,DATA_DUMP_1785116825020_clean_2026-07-20.csv,20-Jul-2026,2,Pl1-R1-M2-H3-P10,20-Jul-2026 11:02:40,20-Jul-2026
2,11:03:05,20-Jul-2026,Rain_out,Climate_model,,Pl1-R1-M2-H3-P10,,,0.1052,2.9169,0.10154,2.608,3.1685,3.099,5.5572,2.3887,31.829,32.5431,57.077,0.44179,7.5,PSF-00578_20260720110305_8b7,0,0,0,172.976,281.3058,0.3851,0.5,0.8,148.2059,1,58.34,57.06,34.29,34.71,34.71,97.36,156.1,154.6,1,962,4.017,-16,-23,352,,,,,,,,15:57:17,20-Jul-2026,39.2084,-96.5938,339,5,1.68,11:02:27,20-Jul-2026,-0.35,1,0.001,0.001,-9999,-2.781,-5.646,-9999,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-05,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.4824,2.4696,1.6428,0.92888,0.18902,0.005222,0.22129,0.91059,172.976,0.000306,2.3977,-3e-05,1,2.3839,-2.4e-05,1,0.60171,0.60051,0.10664,0,PSF-00578_20260720110305_8b7,PFA-00612,PSA-00572,PSF-00578,RHS-0697,3.0.0,2026-06-15T15:17:51.144Z,DATA_DUMP_1785116825020_clean_2026-07-20.csv,20-Jul-2026,3,Pl1-R1-M2-H3-P10,20-Jul-2026 11:03:05,20-Jul-2026
3,11:03:27,20-Jul-2026,Rain_out,Climate_model,,Pl1-R1-M2-H3-P10,,,0.22535,2.9173,0.20919,4.2856,3.2292,3.1151,5.1384,1.9092,31.9903,33.1625,52.7687,0.44179,7.5,PSF-00578_20260720110327_f9b,0,0,0,101.6443,304.8409,0.66657,0.5,0.8,81.0706,1,59.22,57.13,34.36,33.3,33.3,97.38,156.2,154.8,0.9,304,4.01,-23,-48,2,,,,,,,,15:57:43,20-Jul-2026,39.2084,-96.5938,341.5,5,1.68,11:02:27,20-Jul-2026,-0.35,1,-0.002,-0.002,0.009,0.437,0.802,0.955,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-05,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.4825,2.4707,1.6432,0.92929,0.18849,-0.012565,0.22487,0.36071,101.6443,0.000298,2.3977,-3e-05,1,2.3839,-2.4e-05,1,0.60171,0.60051,0.10664,0,PSF-00578_20260720110327_f9b,PFA-00612,PSA-00572,PSF-00578,RHS-0697,3.0.0,2026-06-15T15:17:51.144Z,DATA_DUMP_1785116825020_clean_2026-07-20.csv,20-Jul-2026,4,Pl1-R1-M2-H3-P10,20-Jul-2026 11:03:27,20-Jul-2026
4,11:03:47,20-Jul-2026,Rain_out,Climate_model,,Pl1-R1-M2-H3-P10,,,0.080768,2.916,0.078591,2.093,3.2206,3.1648,5.6952,2.4746,32.5005,33.0736,58.4859,0.44179,7.5,PSF-00578_20260720110347_3ca,0,0,0,134.9326,229.7469,0.41269,0.5,0.8,190.3866,1,58.86,57.84,34.43,35.15,35.15,97.38,156,151.8,2.7,1153,4.015,-13,-17,349,,,,,,,,15:58:02,20-Jul-2026,39.2084,-96.5938,340.8,5,1.68,11:02:27,20-Jul-2026,-0.35,1,-0.002,0,0.008,-1.596,-3.822,-7.04,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-05,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.4834,2.4702,1.6419,0.92192,0.18804,0.008995,0.22797,1.0703,134.9326,0.000292,2.3977,-3e-05,1,2.3839,-2.4e-05,1,0.60171,0.60051,0.10664,0,PSF-00578_20260720110347_3ca,PFA-00612,PSA-00572,PSF-00578,RHS-0697,3.0.0,2026-06-15T15:17:51.144Z,DATA_DUMP_1785116825020_clean_2026-07-20.csv,20-Jul-2026,5,Pl1-R1-M2-H3-P10,20-Jul-2026 11:03:47,20-Jul-2026
6,11:04:36,20-Jul-2026,Rain_out,Climate_model,,Pl1-R1-M2-H3-P10,,,0.27102,2.9172,0.24798,5.2436,3.1994,3.0597,5.1698,1.9704,31.4241,32.859,53.0958,0.44179,7.5,PSF-00578_20260720110436_e9a,0,0,0,93.16313,288.0825,0.67661,0.5,0.8,124.1847,1,57.86,55.33,34.62,33.41,33.41,97.37,156.1,154.6,1,459,4.004,-13,-42,357,,,,,,,,15:58:51,20-Jul-2026,39.2084,-96.5937,333.4,6,1.42,11:02:27,20-Jul-2026,-0.35,1,-0.004,-0.003,0.01,0.068,0.013,-0.054,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-05,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.4801,2.4689,1.6431,0.92885,0.18665,-0.01432,0.23481,0.49005,93.1631,0.000292,2.3977,-3e-05,1,2.3839,-2.4e-05,1,0.60171,0.60051,0.10664,0,PSF-00578_20260720110436_e9a,PFA-00612,PSA-00572,PSF-00578,RHS-0697,3.0.0,2026-06-15T15:17:51.144Z,DATA_DUMP_1785116825020_clean_2026-07-20.csv,20-Jul-2026,6,Pl1-R1-M2-H3-P10,20-Jul-2026 11:04:36,20-Jul-2026
7,11:04:51,20-Jul-2026,Rain_out,Climate_model,,Pl1-R1-M2-H3-P10,,,0.079033,2.915,0.076947,1.7593,3.1101,3.0631,5.2409,2.1307,31.4598,31.9426,53.8265,0.44179,7.5,PSF-00578_20260720110451_a40,0,0,0,85.23846,241.2965,0.64675,0.5,0.8,111.3075,1,56.05,55.2,34.68,33.65,33.65,97.37,155.9,154.5,0.9,430,4.012,-20,-43,358,,,,,,,,15:59:07,20-Jul-2026,39.2084,-96.5937,324.9,5,1.68,11:02:27,20-Jul-2026,-0.35,1,0.001,0.001,-9999,-0.049,0.185,-9999,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-05,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.4799,2.4666,1.6408,0.92852,0.18619,-0.012168,0.23678,0.46616,85.2385,0.000307,2.3977,-3e-05,1,2.3839,-2.4e-05,1,0.60171,0.60051,0.10664,0,PSF-00578_20260720110451_a40,PFA-00612,PSA-00572,PSF-00578,RHS-0697,3.0.0,2026-06-15T15:17:51.144Z,DATA_DUMP_1785116825020_clean_2026-07-20.csv,20-Jul-2026,7,Pl1-R1-M2-H3-P10,20-Jul-2026 11:04:51,20-Jul-2026
8,11:05:09,20-Jul-2026,Rain_out,Climate_model,,Pl1-R1-M2-H3-P10,,,0.083097,2.9157,0.080794,1.8804,3.1865,3.1364,5.3537,2.1672,32.2059,32.7212,54.9752,0.44179,7.5,PSF-00578_20260720110509_3e4,0,0,0,84.45489,263.4387,0.67941,0.5,0.8,55.3614,1,57.18,56.28,34.76,34.04,34.04,97.38,156,154.5,0.9,204,4.011,-20,-52,2,,,,,,,,15:59:24,20-Jul-2026,39.2083,-96.5937,316.5,7,1.35,11:02:27,20-Jul-2026,-0.35,1,0.001,0.002,-9999,0.009,0.15,-9999,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-05,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.4813,2.468,1.6416,0.92865,0.18564,-0.008495,0.23898,0.27686,84.4549,0.000299,2.3977,-3e-05,1,2.3839,-2.4e-05,1,0.60171,0.60051,0.10664,0,PSF-00578_20260720110509_3e4,PFA-00612,PSA-00572,PSF-00578,RHS-0697,3.0.0,2026-06-15T15:17:51.144Z,DATA_DUMP_1785116825020_clean_2026-07-20.csv,20-Jul-2026,8,Pl1-R1-M2-H3-P10,20-Jul-2026 11:05:09,20-Jul-2026
1,11:06:18,20-Jul-2026,Rain_out,Climate_model,,Pl1-R1-M2-H3-P10,,,0.047449,2.9157,0.046689,1.1096,3.177,3.1474,5.3893,2.2123,32.3228,32.6268,55.3471,0.44179,7.5,PSF-00578_20260720110618_f85,0,0,0,79.74994,264.0435,0.69797,0.5,0.8,36.5305,1,55.96,55.44,35.09,34.15,34.15,97.37,156,154.1,1.2,131,4.009,26,61,228,,,,,,,,00:00:00,0000-00-00,NaN,NaN,NaN,0,NaN,11:06:09,20-Jul-2026,-0.4,1,0,-0.001,-0.002,-0.078,-0.099,-0.12,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-05,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.4802,2.4665,1.6416,0.92752,0.18324,-0.011145,0.31997,0.21598,79.7499,0.000299,2.3977,-3e-05,1,2.3839,-2.4e-05,1,0.60171,0.60051,0.10664,0,PSF-00578_20260720110618_f85,PFA-00612,PSA-00572,PSF-00578,RHS-0697,3.0.0,2026-06-15T15:17:51.144Z,DATA_DUMP_1785116825020_clean_2026-07-20.csv,20-Jul-2026,9,Pl1-R1-M2-H3-P10,20-Jul-2026 11:06:18,20-Jul-2026
2,11:06:40,20-Jul-2026,Rain_out,Climate_model,,Pl1-R1-M2-H3-P10,,,0.072767,2.9165,0.070995,1.733,3.1357,3.0894,5.4083,2.2727,31.7273,32.2021,55.5416,0.44179,7.5,PSF-00578_20260720110640_6e0,0,0,0,81.43366,264.0953,0.69165,0.5,0.8,13.6752,1,55,54.19,35.17,34.22,34.22,97.37,156.1,154.2,1.2,49,4.008,19,114,291,,,,,,,,00:00:00,0000-00-00,NaN,NaN,NaN,0,NaN,11:06:09,20-Jul-2026,-0.4,1,0.003,0,-9999,-0.197,-0.348,-9999,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-05,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.4785,2.4653,1.6424,0.92783,0.18268,-0.011325,0.32176,0.14794,81.4337,0.000302,2.3977,-3e-05,1,2.3839,-2.4e-05,1,0.60171,0.60051,0.10664,0,PSF-00578_20260720110640_6e0,PFA-00612,PSA-00572,PSF-00578,RHS-0697,3.0.0,2026-06-15T15:17:51.144Z,DATA_DUMP_1785116825020_clean_2026-07-20.csv,20-Jul-2026,10,Pl1-R1-M2-H3-P10,20-Jul-2026 11:06:40,20-Jul-2026
3,11:06:58,20-Jul-2026,Rain_out,Climate_model,,Pl1-R1-M2-H3-P10,,,0.17855,2.9175,0.16825,3.2895,3.2293,3.1417,5.0521,1.8228,32.2636,33.1632,51.8825,0.44179,7.5,PSF-00578_20260720110658_7b1,0,0,0,87.75186,238.8396,0.63259,0.5,0.8,100.162,1,56.44,54.91,35.23,33,33,97.38,156.2,154.2,1.2,396,3.975,-15,-43,356,,,,,,,,00:00:00,0000-00-00,39.2084,-96.5938,332.2,6,1.43,11:06:09,20-Jul-2026,-0.4,1,0.005,0.004,-9999,0.507,0.895,-9999,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-05,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.4794,2.4671,1.6435,0.92797,0.18223,-0.02671,0.32315,0.4374,87.7519,0.0003,2.3977,-3e-05,1,2.3839,-2.4e-05,1,0.60171,0.60051,0.10664,0,PSF-00578_20260720110658_7b1,PFA-00612,PSA-00572,PSF-00578,RHS-0697,3.0.0,2026-06-15T15:17:51.144Z,DATA_DUMP_1785116825020_clean_2026-07-20.csv,20-Jul-2026,11,Pl1-R1-M2-H3-P10,20-Jul-2026 11:06:58,20-Jul-2026
