MeasurementDate,SourceSheet,SourceBlock,SourceExcelRow,Obs_,Time,Date,configName,configAuthor,remark,Bar_code,x,x_1,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv_Fm,Fs,Fm_,PhiPS2,PS2_1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt,MEASUREMENT_HEADER_END,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127,x_128,x_129,x_130,x_131,x_132,x_133
2026-07-08,DATA_DUMP_1785116825020,3,6,1,0.391469907407407,46211,Rain_out,Climate_model,,"Pl18-R2-M1-H3-P05",,,0.071009,2.917553,0.069321,1.437315,2.075558,2.036637,4.040167,1.964608,20.822277,21.2202,41.306065,0.441786,7.5,PSF-00578_20260708092343_bff,0,0,0,106.022003,204.750534,0.482189,0.5,0.8,170.217316,1,52.67,51.68,28.65,29.08,29.08,97.81,156.2,155.4,0.5,883,4.041,25,72,285,,,,,,,,0,0000-00-00,nan,nan,nan,0,nan,0.391319444444444,46211,-1.17,1,-0.001,0.001,-0.013,-0.978,2.853,11.003,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-05,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.476499,2.464412,1.64347,0.93078,0.235911,0.005237,0.138062,0.844063,106.022003,0.000291,2.397709,-3e-05,1,2.383926,-2.4e-05,1,0.601714,0.600514,0.106642,0,PSF-00578_20260708092343_bff,PFA-00612,PSA-00572,PSF-00578,RHS-0697,3.0.0,2026-06-15T15:17:51.144Z,MEASUREMENT_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-08,DATA_DUMP_1785116825020,3,7,2,0.391643518518519,46211,Rain_out,Climate_model,,"Pl18-R2-M1-H3-P05",,,0.102635,2.914927,0.099144,2.354485,2.156906,2.093075,4.401722,2.244816,21.400377,22.053011,45.004852,0.441786,7.5,PSF-00578_20260708092358_a0f,0,0,0,137.383453,213.268524,0.355819,0.5,0.8,229.701584,1,54.57,52.95,28.7,30.57,30.57,97.81,155.9,155.6,0.2,1614,4.042,4,43,10,,,,,,,,0,0000-00-00,nan,nan,nan,0,nan,0.391319444444444,46211,-1.17,1,-0.003,0,-9999,-1.345,-2.61,-9999,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-05,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.478134,2.466813,1.640793,0.931355,0.235435,0.02194,0.141331,1.455182,137.383453,0.000293,2.397709,-3e-05,1,2.383926,-2.4e-05,1,0.601714,0.600514,0.106642,0,PSF-00578_20260708092358_a0f,PFA-00612,PSA-00572,PSF-00578,RHS-0697,3.0.0,2026-06-15T15:17:51.144Z,MEASUREMENT_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-08,DATA_DUMP_1785116825020,3,8,3,0.391828703703704,46211,Rain_out,Climate_model,,,,,0.057866,2.916104,0.05674,1.390658,2.174712,2.137049,4.490351,2.315639,21.848373,22.233419,45.907623,0.441786,7.5,PSF-00578_20260708092414_391,0,0,0,198.022842,250.060196,0.208099,0.5,0.8,131.788208,1,54.86,53.91,28.75,30.92,30.92,97.81,156,155.4,0.4,1583,4.04,-7,33,9,,,,,,,,0,0000-00-00,nan,nan,nan,0,nan,0.391319444444444,46211,-1.17,1,0,-0.003,-9999,-4.867,-5.425,-9999,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-05,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.479361,2.467177,1.64199,0.930906,0.234982,0.025472,0.144476,1.429568,198.022842,0.000288,2.397709,-3e-05,1,2.383926,-2.4e-05,1,0.601714,0.600514,0.106642,0,PSF-00578_20260708092414_391,PFA-00612,PSA-00572,PSF-00578,RHS-0697,3.0.0,2026-06-15T15:17:51.144Z,MEASUREMENT_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-08,DATA_DUMP_1785116825020,3,9,4,0.392048611111111,46211,Rain_out,Climate_model,,"Pl18-R2-M1-H3-P05",,,0.059371,2.917016,0.058187,1.479783,2.21732,2.177286,4.618224,2.400904,22.257174,22.66642,47.209522,0.441786,7.5,PSF-00578_20260708092433_d1a,0,0,0,146.898865,204.989792,0.283385,0.5,0.8,25.667475,1,55.74,54.74,28.81,31.41,31.41,97.82,156.1,155.2,0.6,226,4.037,-11,31,8,,,,,,,,0,0000-00-00,nan,nan,nan,0,nan,0.391319444444444,46211,-1.17,1,0.001,0.001,-9999,-3.149,-6.462,-9999,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-05,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.480406,2.468277,1.642921,0.930268,0.234419,0.030584,0.148153,0.295849,146.898865,0.000268,2.397709,-3e-05,1,2.383926,-2.4e-05,1,0.601714,0.600514,0.106642,0,PSF-00578_20260708092433_d1a,PFA-00612,PSA-00572,PSF-00578,RHS-0697,3.0.0,2026-06-15T15:17:51.144Z,MEASUREMENT_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-08,DATA_DUMP_1785116825020,3,10,5,0.392511574074074,46211,Rain_out,Climate_model,,"Pl18-R2-M1-H3-P07",,,0.035016,2.915798,0.0346,0.637545,2.297155,2.279906,4.04115,1.743995,23.307627,23.483967,41.312943,0.441786,7.5,PSF-00578_20260708092513_c26,0,0,0,112.437485,251.40094,0.552756,0.5,0.8,165.904877,1,57.22,56.79,28.97,29.08,29.08,97.82,156,155.1,0.6,750,4.035,-2,-14,4,,,,,,,,0,0000-00-00,nan,nan,nan,0,nan,0.391319444444444,46211,-1.17,1,0.004,0.003,-9999,1.853,5.312,-9999,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-05,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.483002,2.470105,1.641679,0.930145,0.232934,0.001594,0.155138,0.733624,112.437485,0.000295,2.397709,-3e-05,1,2.383926,-2.4e-05,1,0.601714,0.600514,0.106642,0,PSF-00578_20260708092513_c26,PFA-00612,PSA-00572,PSF-00578,RHS-0697,3.0.0,2026-06-15T15:17:51.144Z,MEASUREMENT_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-08,DATA_DUMP_1785116825020,3,11,6,0.392847222222222,46211,Rain_out,Climate_model,,"Pl18-R2-M1-H3-P07",,,0.232434,2.915684,0.215273,4.539361,2.39419,2.271508,4.385024,1.990834,23.22558,24.479965,44.835724,0.441786,7.5,PSF-00578_20260708092542_4be,0,0,0,106.658577,181.924576,0.413721,0.5,0.8,278.922729,1,59.26,56.22,29.08,30.5,30.5,97.8,156,154.8,0.8,1685,4.002,-6,41,9,,,,,,,,0,0000-00-00,39.2083,-96.5938,331.5,6,1.57,0.391319444444444,46211,-1.17,1,-0.002,0.004,-9999,-1.387,-0.535,-9999,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-05,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.48226,2.472656,1.641563,0.929343,0.231934,0.016788,0.159851,1.514977,106.658577,0.00029,2.397709,-3e-05,1,2.383926,-2.4e-05,1,0.601714,0.600514,0.106642,0,PSF-00578_20260708092542_4be,PFA-00612,PSA-00572,PSF-00578,RHS-0697,3.0.0,2026-06-15T15:17:51.144Z,MEASUREMENT_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-08,DATA_DUMP_1785116825020,3,12,7,0.393055555555556,46211,Rain_out,Climate_model,,"Pl18-R2-M1-H3-P07",,,0.13386,2.914584,0.127982,2.211114,2.315529,2.255663,3.951287,1.635758,23.060919,23.672962,40.396236,0.441786,7.5,PSF-00578_20260708092600_da0,0,0,0,93.76931,236.88913,0.604164,0.5,0.8,189.363281,1,57.05,55.57,29.16,28.69,28.69,97.81,155.8,155.2,0.4,784,4.033,-11,-7,346,,,,,,,,0.59787037037037,46211,39.2084,-96.5939,331,8,1.21,0.391319444444444,46211,-1.17,1,-0.004,-0.004,-9999,-5.77,-1.448,-9999,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-05,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.481413,2.469859,1.640444,0.930303,0.231202,-0.005032,0.162606,0.761385,93.76931,0.000298,2.397709,-3e-05,1,2.383926,-2.4e-05,1,0.601714,0.600514,0.106642,0,PSF-00578_20260708092600_da0,PFA-00612,PSA-00572,PSF-00578,RHS-0697,3.0.0,2026-06-15T15:17:51.144Z,MEASUREMENT_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-08,DATA_DUMP_1785116825020,3,13,8,0.393449074074074,46211,Rain_out,Climate_model,,"Pl18-R2-M1-H3-P09",,,0.47121,2.916411,0.405666,6.232718,2.478996,2.310776,3.932552,1.453556,23.624489,25.344299,40.204903,0.441786,7.5,PSF-00578_20260708092634_b8a,0,0,0,96.344231,327.630035,0.705936,0.5,0.8,46.912712,1,60.57,56.46,29.3,28.61,28.61,97.81,156,155.6,0.3,166,4.027,25,53,131,,,,,,,,0.598252314814815,46211,39.2084,-96.5939,331.2,8,1.21,0.391319444444444,46211,-1.17,1,0.006,0.003,-9999,0.485,2.394,-9999,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-05,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.482522,2.474264,1.642304,0.931442,0.229892,-0.007625,0.167725,0.245463,96.344231,0.000296,2.397709,-3e-05,1,2.383926,-2.4e-05,1,0.601714,0.600514,0.106642,0,PSF-00578_20260708092634_b8a,PFA-00612,PSA-00572,PSF-00578,RHS-0697,3.0.0,2026-06-15T15:17:51.144Z,MEASUREMENT_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-08,DATA_DUMP_1785116825020,3,14,9,0.393668981481481,46211,Rain_out,Climate_model,,"Pl18-R2-M1-H3-P09",,,0.055698,2.916943,0.054654,0.975993,2.289218,2.262836,3.979909,1.690691,23.134836,23.404568,40.689892,0.441786,7.5,PSF-00578_20260708092653_432,0,0,0,80.358627,264.651428,0.696361,0.5,0.8,102.521011,1,55.65,55.01,29.39,28.82,28.82,97.81,156.1,155.4,0.5,368,4.031,12,-35,159,,,,,,,,0.598483796296296,46211,39.2084,-96.5939,331.2,8,1.21,0.391319444444444,46211,-1.17,1,-0.002,-0.003,-9999,0.013,0.518,-9999,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-05,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.480651,2.46806,1.642846,0.930891,0.229103,-0.006269,0.17057,0.414187,80.358627,0.000303,2.397709,-3e-05,1,2.383926,-2.4e-05,1,0.601714,0.600514,0.106642,0,PSF-00578_20260708092653_432,PFA-00612,PSA-00572,PSF-00578,RHS-0697,3.0.0,2026-06-15T15:17:51.144Z,MEASUREMENT_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-08,DATA_DUMP_1785116825020,3,15,10,0.393935185185185,46211,Rain_out,Climate_model,,"Pl18-R2-M1-H3-P09",,,0.041879,2.915239,0.041285,0.723117,2.271601,2.252022,3.930655,1.659053,23.021454,23.221605,40.181396,0.441786,7.5,PSF-00578_20260708092716_b5a,0,0,0,80.45018,269.372833,0.701343,0.5,0.8,155.65155,1,54.93,54.46,29.48,28.6,28.6,97.82,155.9,155.2,0.4,555,4.032,-5,-22,357,,,,,,,,0.598738425925926,46211,39.2084,-96.5939,331.1,8,1.21,0.391319444444444,46211,-1.17,1,-0.002,-0.004,-9999,0.269,0.832,-9999,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-05,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.479928,2.467137,1.64111,0.930454,0.22828,-0.009774,0.173731,0.570252,80.45018,0.000303,2.397709,-3e-05,1,2.383926,-2.4e-05,1,0.601714,0.600514,0.106642,0,PSF-00578_20260708092716_b5a,PFA-00612,PSA-00572,PSF-00578,RHS-0697,3.0.0,2026-06-15T15:17:51.144Z,MEASUREMENT_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
