"ID","Series","Repeat","Ambient Humidity","Ambient Temperature","ECSt mAU","gH+","Leaf Angle","Leaf Temperature Differential","LEF","Light Intensity (PAR)","NPQt","Phi2","PhiNO","PhiNPQ","PS1 Active Centers","PS1 Open Centers","PS1 Over Reduced Centers","PS1 Oxidized Centers","Relative Chlorophyll","Thickness","vH+","time","Leaf position","Plant ID","Plot ID","Time","Time of Day","User","Device ID","Latitude","Longitude","Issues"
6544190,"Whole Data Set",1,38.777,27.88,0.00089,0.955,63.817,-0.17,259.0637085,2172.442,2.536,0.265,0.208,0.527,8.671,0.327,0.351,0.322,69.03,3.48,0.001,"07/22/2026 4:28 PM","Upper",04,"P01","Late",16.481666666666666,"suraj karkee","41:00:13:15",39.20836833333333,-96.59379833333332,""
6544189,"Whole Data Set",1,38.758,28.06,0.00069,132.31,78.788,-1.45,91.4205303,421.487,1.464,0.482,0.21,0.308,3.755,1.156,-0.124,-0.032,69.78,0.33,0.091,"07/22/2026 4:29 PM","Middle",04,"P01","Late",16.491111111111113,"suraj karkee","41:00:13:15",39.208378333333336,-96.59381666666668,""
6544188,"Whole Data Set",1,38.99,28.29,0.00085,113.341,50.329,-1.62,112.57697790000002,552.254,1.72,0.453,0.201,0.346,5.903,0.501,0.384,0.116,69.99,0.32,0.096,"07/22/2026 4:30 PM","Lower",04,"P01","Late",16.5,"suraj karkee","41:00:13:15",39.208385,-96.59380833333334,""
6544187,"Whole Data Set",1,38.146,30.03,0.00108,148.286,82.451,-0.28,151.2285012,842.264,2.877,0.399,0.155,0.446,4.617,0.254,0.345,0.401,64.61,0.22,0.16,"07/22/2026 4:35 PM","Upper",05,"P01","Late",16.598888888888887,"suraj karkee","41:00:13:15",39.208395,-96.59383166666666,""
6544186,"Whole Data Set",1,38.801,30.22,0.00091,150.696,60.004,-2.51,111.5922726,639.131,1.846,0.388,0.215,0.397,5.81,0.653,0.495,-0.148,70.83,0.25,0.137,"07/22/2026 4:36 PM","Middle",05,"P01","Late",16.608055555555556,"suraj karkee","41:00:13:15",39.20839333333333,-96.593835,""
6544185,"Whole Data Set",1,38.645,30.46,0.00111,74.911,64.086,-2.75,84.9627873,384.534,1.227,0.491,0.228,0.28,6.866,0.39,0.589,0.02,70.34,0.23,0.083,"07/22/2026 4:37 PM","Lower",05,"P01","Late",16.618055555555557,"suraj karkee","41:00:13:15",39.20840666666666,-96.59380333333333,""
6544184,"Whole Data Set",1,39.159,31.36,0.00149,136.723,80.334,-2.65,203.8336362,1804.636,5.691,0.251,0.112,0.637,1.715,0.972,-1.851,1.879,64.35,0.61,0.204,"07/22/2026 4:39 PM","Upper",06,"P01","Late",16.660555555555554,"suraj karkee","41:00:13:15",39.20843833333333,-96.59383333333332,""
6544183,"Whole Data Set",1,37.367,31.51,0.00095,137.451,63.477,-3.3,145.1808441,833.654,2.522,0.387,0.174,0.439,4.67,0.366,0.371,0.263,65.76,0.32,0.131,"07/22/2026 4:40 PM","Middle",06,"P01","Late",16.669722222222223,"suraj karkee","41:00:13:15",39.20845833333333,-96.59383000000001,""
6544182,"Whole Data Set",1,36.94,31.66,0.00157,153.275,64.981,-1.97,218.024667,1977.548,6.064,0.245,0.107,0.648,4.905,0.443,0.187,0.371,69.61,0.27,0.241,"07/22/2026 4:40 PM","Lower",06,"P01","Late",16.678055555555556,"suraj karkee","41:00:13:15",39.20845666666666,-96.59382499999998,""
6544181,"Whole Data Set",1,33.418,32.58,0.00129,103.203,69.526,-4.01,123.69793499999999,751.05,2.236,0.366,0.196,0.438,6.11,0.464,0.452,0.084,69.63,0.21,0.133,"07/22/2026 4:44 PM","Upper",08,"P01","Late",16.744722222222222,"suraj karkee","41:00:13:15",39.20845166666666,-96.59385666666667,""
6544180,"Whole Data Set",1,34.245,32.65,0.0013,78.143,74.916,-4.44,123.0839946,662.276,1.892,0.413,0.203,0.384,5.687,0.568,0.404,0.028,70.75,0.31,0.102,"07/22/2026 4:45 PM","Middle",08,"P01","Late",16.75583333333333,"suraj karkee","41:00:13:15",39.20841166666666,-96.59382833333332,""
6544179,"Whole Data Set",1,33.524,32.73,0.00123,182.971,80.05,-3.76,249.8099283,1862.863,4.3,0.298,0.132,0.57,5.341,0.41,0.238,0.352,67.73,0.28,0.225,"07/22/2026 4:45 PM","Lower",08,"P01","Late",16.765555555555554,"suraj karkee","41:00:13:15",39.20842833333334,-96.59383833333335,""
6544178,"Whole Data Set",1,31.786,32.93,0.00119,119.41,69.864,-4.04,158.91948000000002,882.886,2.115,0.4,0.193,0.407,3.598,0.607,0.129,0.264,65.22,0.27,0.142,"07/22/2026 4:49 PM","Upper",01,"P03","Late",16.8175,"suraj karkee","41:00:13:15",39.208436666666664,-96.593805,""
6544177,"Whole Data Set",1,32.894,32.74,0.00033,152.3,73.401,-4.63,58.03008750000001,239.25,1.474,0.539,0.186,0.275,5.028,0.344,0.555,0.1,67.08,0.28,0.05,"07/22/2026 4:49 PM","Middle",01,"P03","Late",16.828055555555554,"suraj karkee","41:00:13:15",39.20845833333333,-96.59381833333333,""
6544176,"Whole Data Set",1,32.755,32.8,0.00148,91.111,41.355,-3.87,152.89005645,979.123,2.458,0.347,0.189,0.464,3.144,0.817,-0.174,0.357,66.28,0.3,0.135,"07/22/2026 4:50 PM","Lower",01,"P03","Late",16.837777777777777,"suraj karkee","41:00:13:15",39.208443333333335,-96.59383666666666,""
6544175,"Whole Data Set",1,36.004,33.2,0.00037,95.232,62.937,-5.53,66.57902684999999,254.653,1.331,0.581,0.18,0.239,5.494,0.465,0.563,-0.027,64.07,0.47,0.035,"07/22/2026 4:53 PM","Upper",02,"P03","Late",16.890833333333333,"suraj karkee","41:00:13:15",39.2074657,-96.5985341,""
6544174,"Whole Data Set",1,32.408,33.3,0.00129,177.658,64.598,-4.33,250.76432384999998,2135.073,5.254,0.261,0.118,0.621,4.483,0.393,0.215,0.392,66.19,0.2,0.229,"07/22/2026 4:54 PM","Middle",02,"P03","Late",16.90138888888889,"suraj karkee","41:00:13:15",39.20845166666666,-96.59382,""
6544173,"Whole Data Set",1,33.715,33.36,0.00026,190.816,57.905,-4.97,55.6263612,219.174,1.446,0.564,0.178,0.258,5.354,0.569,0.432,-0.001,68.59,0.3,0.05,"07/22/2026 4:54 PM","Lower",02,"P03","Late",16.910833333333333,"suraj karkee","41:00:13:15",39.208485,-96.59381833333333,""
6544172,"Whole Data Set",1,32.168,33.78,0.0007,144.066,72.057,-5.07,108.42448230000001,473.366,1.658,0.509,0.185,0.306,4.425,0.461,0.472,0.068,65.59,0.66,0.101,"07/22/2026 4:57 PM","Upper",05,"P03","Late",16.964444444444442,"suraj karkee","41:00:13:15",39.20846166666667,-96.59380166666666,""
6544171,"Whole Data Set",1,32.38,33.74,0.00028,251.574,68.183,-5.35,55.6923906,225.841,1.511,0.548,0.18,0.272,4.904,0.579,0.521,-0.1,68.02,0.27,0.07,"07/22/2026 4:58 PM","Middle",05,"P03","Late",16.973333333333333,"suraj karkee","41:00:13:15",39.208466666666666,-96.593835,""
